1  A=87 X=07 Y=00; N.......; 00:735B: jsr ProDOS 8: CREATE ($9c9a)
2  A=87 X=07 Y=00; N.......; 00:BF00: jmp $bfb7           
3  A=87 X=07 Y=00; N.......; 00:BFB7: php                 
4  A=87 X=07 Y=00; N.......; 00:BFB8: sei                 
5  A=87 X=07 Y=00; N....I..; 00:BFB9: sec                 
6  A=87 X=07 Y=00; N....I.C; 00:BFBA: ror $bf9b           
7  A=87 X=07 Y=00; N....I.C; 00:BFBD: stx $bf9e           
8  A=87 X=07 Y=00; N....I.C; 00:BFC0: ldx $e000           
9  A=87 X=B0 Y=00; N....I.C; 00:BFC3: lda $d000           
10  A=EE X=B0 Y=00; N....I.C; 00:BFC6: bit $c08b           
11  A=EE X=B0 Y=00; N....I.C; 00:BFC9: bit $c08b           
12  A=EE X=B0 Y=00; N....I.C; 00:BFCC: plp                 
13  A=EE X=B0 Y=00; N.......; 00:BFCD: jmp $de00           
14  A=EE X=B0 Y=00; N.......; 00:DE00: sty $bf9f           
15  A=EE X=B0 Y=00; N.......; 00:DE03: stx $bff4           
16  A=EE X=B0 Y=00; N.......; 00:DE06: sta $bff5           
17  A=EE X=B0 Y=00; N.......; 00:DE09: cld                 
18  A=EE X=B0 Y=00; N.......; 00:DE0A: clc                 
19  A=EE X=B0 Y=00; N.......; 00:DE0B: ldx #$fe            
20  A=EE X=FE Y=00; N.......; 00:DE0D: pla                 
21  A=5D X=FE Y=00; ........; 00:DE0E: sta $42,x           
22  A=5D X=FE Y=00; ........; 00:DE10: adc $dd5f,x         
23  A=61 X=FE Y=00; ........; 00:DE13: sta $be9e,x         
24  A=61 X=FE Y=00; ........; 00:DE16: inx                 
25  A=61 X=FF Y=00; N.......; 00:DE17: bne 00de0d (-$c)    
26  A=61 X=FF Y=00; N.......; 00:DE0D: pla                 
27  A=73 X=FF Y=00; ........; 00:DE0E: sta $42,x           
28  A=73 X=FF Y=00; ........; 00:DE10: adc $dd5f,x         
29  A=73 X=FF Y=00; ........; 00:DE13: sta $be9e,x         
30  A=73 X=FF Y=00; ........; 00:DE16: inx                 
31  A=73 X=00 Y=00; ......Z.; 00:DE17: bne 00de0d (-$c)    
32  A=73 X=00 Y=00; ......Z.; 00:DE19: stx $bf0f           
33  A=73 X=00 Y=00; ......Z.; 00:DE1C: ldy #$01            
34  A=73 X=00 Y=01; ........; 00:DE1E: lda ($40),y         
35  A=C0 X=00 Y=01; N.......; 00:DE20: lsra                
36  A=60 X=00 Y=01; ........; 00:DE21: lsra                
37  A=30 X=00 Y=01; ........; 00:DE22: lsra                
38  A=18 X=00 Y=01; ........; 00:DE23: lsra                
39  A=0C X=00 Y=01; ........; 00:DE24: clc                 
40  A=0C X=00 Y=01; ........; 00:DE25: adc ($40),y         
41  A=CC X=00 Y=01; N.......; 00:DE27: and #$1f            
42  A=0C X=00 Y=01; ........; 00:DE29: tax                 
43  A=0C X=0C Y=01; ........; 00:DE2A: lda ($40),y         
44  A=C0 X=0C Y=01; N.......; 00:DE2C: cmp $fd77,x         
45  A=C0 X=0C Y=01; ......ZC; 00:DE2F: bne 00dea8 ($77)    
46  A=C0 X=0C Y=01; ......ZC; 00:DE31: iny                 
47  A=C0 X=0C Y=02; .......C; 00:DE32: lda ($40),y         
48  A=9A X=0C Y=02; N......C; 00:DE34: pha                 
49  A=9A X=0C Y=02; N......C; 00:DE35: iny                 
